"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","272","givenValidWorkshopRequest_whenAdminAuthenticated_thenReturn201","Workshop API Test Suite","Sun Jun 15 21:37:10 GMT 2025","failed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenValidWorkshopRequest_whenAdminAuthenticated_thenReturn201"
"","12","getUpcomingWorkshops_returnsUpcoming","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","broken","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","getUpcomingWorkshops_returnsUpcoming"
"","429","givenInvalidWorkshopRequest_whenAdminAuthenticated_thenReturn400","Workshop API Test Suite","Sun Jun 15 21:37:10 GMT 2025","passed","Sun Jun 15 21:37:10 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenInvalidWorkshopRequest_whenAdminAuthenticated_thenReturn400"
"","5","dummy_test","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","dummy_test"
"","8","deleteWorkshop_success","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","broken","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","deleteWorkshop_success"
"","62","givenNoAuth_whenGetUpcomingWorkshops_thenReturn200","Workshop API Test Suite","Sun Jun 15 21:37:10 GMT 2025","passed","Sun Jun 15 21:37:10 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenNoAuth_whenGetUpcomingWorkshops_thenReturn200"
"","171","givenValidRegistrationRequest_whenUserAuthenticated_thenReturn201","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","failed","Sun Jun 15 21:37:12 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenValidRegistrationRequest_whenUserAuthenticated_thenReturn201"
"","59","givenNoAuth_whenGetAllWorkshops_thenReturn401","Workshop API Test Suite","Sun Jun 15 21:37:10 GMT 2025","passed","Sun Jun 15 21:37:10 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenNoAuth_whenGetAllWorkshops_thenReturn401"
"","2","getWorkshopByCode_success","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","passed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","getWorkshopByCode_success"
"","385","givenAdminAuth_whenGetRegistrationByWorkshopCode_thenReturn200AndCorrectWorkshop","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","failed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenAdminAuth_whenGetRegistrationByWorkshopCode_thenReturn200AndCorrectWorkshop"
"","23","createWorkshop_invalidTimes","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","passed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","createWorkshop_invalidTimes"
"","2696","givenAdminAuth_whenGetAllWorkshops_thenReturn200","Workshop API Test Suite","Sun Jun 15 21:37:07 GMT 2025","passed","Sun Jun 15 21:37:10 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenAdminAuth_whenGetAllWorkshops_thenReturn200"
"","2","deleteWorkshop_withRegistrations","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","failed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","deleteWorkshop_withRegistrations"
"","32","createWorkshop_alreadyExists","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","failed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","createWorkshop_alreadyExists"
"","2746","givenAdminAuth_whenGetWorkshopByCode_thenReturn200","Workshop API Test Suite","Sun Jun 15 21:37:07 GMT 2025","failed","Sun Jun 15 21:37:10 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenAdminAuth_whenGetWorkshopByCode_thenReturn200"
"","143","givenUserAuth_whenGetRegistrations_thenReturn401","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenUserAuth_whenGetRegistrations_thenReturn401"
"","40","givenInvalidAuth_whenGetRegistrations_thenReturn403","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenInvalidAuth_whenGetRegistrations_thenReturn403"
"","318","givenUpdateWorkshopRequest_whenAdminAuthenticated_thenReturn200","Workshop API Test Suite","Sun Jun 15 21:37:10 GMT 2025","failed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenUpdateWorkshopRequest_whenAdminAuthenticated_thenReturn200"
"","286","givenUserAuth_whenGetAllWorkshops_thenReturn403","Workshop API Test Suite","Sun Jun 15 21:37:10 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenUserAuth_whenGetAllWorkshops_thenReturn403"
"","7","deleteWorkshop_notFound","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","passed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","deleteWorkshop_notFound"
"","307","givenDeleteRegistrationRequest_whenAdminAuthenticated_thenReturnOk","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","failed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenDeleteRegistrationRequest_whenAdminAuthenticated_thenReturnOk"
"","36","givenNoAuth_whenGetRegistrations_thenReturn401","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenNoAuth_whenGetRegistrations_thenReturn401"
"","14","getAllWorkshops_returnsAll","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","passed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","getAllWorkshops_returnsAll"
"","2736","givenDeleteWorkshopRequest_whenAdminAuthenticated_thenReturn200","Workshop API Test Suite","Sun Jun 15 21:37:07 GMT 2025","failed","Sun Jun 15 21:37:10 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenDeleteWorkshopRequest_whenAdminAuthenticated_thenReturn200"
"","297","givenInValidRegistrationRequest_whenUserAuthenticated_thenReturn400","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenInValidRegistrationRequest_whenUserAuthenticated_thenReturn400"
"","11","updateWorkshop_success","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","failed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","updateWorkshop_success"
"","292","givenAdminAuth_whenGetRegistrations_thenReturn200","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenAdminAuth_whenGetRegistrations_thenReturn200"
"","428","givenDuplicateWorkshopCode_whenCreateWorkshop_thenReturn400","Workshop API Test Suite","Sun Jun 15 21:37:10 GMT 2025","passed","Sun Jun 15 21:37:10 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenDuplicateWorkshopCode_whenCreateWorkshop_thenReturn400"
"","25","createWorkshop_success","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","broken","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","createWorkshop_success"
"","352","givenDuplicateRegistrationRequest_whenUserAuthenticated_thenReturn400","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","failed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenDuplicateRegistrationRequest_whenUserAuthenticated_thenReturn400"
"","193","givenInvalidWorkshopCode_whenGetRegistration_thenReturn400","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenInvalidWorkshopCode_whenGetRegistration_thenReturn400"
"","2","getWorkshopByCode_notFound","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","passed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","getWorkshopByCode_notFound"
"","309","givenInvalidWorkshopCode_whenGetWorkshop_thenReturn400","Workshop API Test Suite","Sun Jun 15 21:37:10 GMT 2025","failed","Sun Jun 15 21:37:10 GMT 2025","com.app.controller.WorkshopControllerTestV1","API Tests","com.app.controller.WorkshopControllerTestV1","givenInvalidWorkshopCode_whenGetWorkshop_thenReturn400"
"","1","updateWorkshop_notFound","Workshop API Test Suite","Sun Jun 15 21:37:13 GMT 2025","passed","Sun Jun 15 21:37:13 GMT 2025","com.app.service.WorkshopServiceTest","API Tests","com.app.service.WorkshopServiceTest","updateWorkshop_notFound"
"","247","givenGetUserRegistrationRequest_whenUserAuthenticated_thenReturn200","Workshop API Test Suite","Sun Jun 15 21:37:11 GMT 2025","passed","Sun Jun 15 21:37:11 GMT 2025","com.app.controller.RegistrationControllerTestV1","API Tests","com.app.controller.RegistrationControllerTestV1","givenGetUserRegistrationRequest_whenUserAuthenticated_thenReturn200"
